dataset,category,case,vertices,triangulations,median_time,mad_time,min_time,max_time,n_runs,median_time_per_tri,mad_time_per_tri,median_tri_per_sec,mad_tri_per_sec,median_avg_time_per_tri,median_mem,median_mem_per_vertex,time_limit_frac,any_time_limit,median_unsuccessful_check_pct,median_check_success_rate,median_total_checks,median_successful_checks,median_failed_checks,median_checks_ratio,median_invalid_traversal_pct,median_traversal_success_rate
results-without-vgs,2_triangulation_subdivide_2,case_011.txt,26,485593210.0,360.031613533,0.019158025248567502,360.001175084,360.049613393,5,7.414429086395174e-07,9.793262262153763e-10,1348721.5109183688,1783.0315825431499,7.414263752431793e-07,,,1.0,True,6.420648981192635,93.58,518891651.0,485593210.0,33298441.0,1.0686118135175167,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_022.txt,31,488018179.0,360.020823309,0.028659823323533236,360.001492523,360.045675512,5,7.377137373708369e-07,1.6909241638156474e-09,1355539.349943427,3102.254932593109,7.377201071622374e-07,,,1.0,True,26.10404664182446,73.9,660412588.0,488018178.0,172394410.0,1.3532540748922677,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_019.txt,28,488438164.0,360.037667771,0.007266962417440538,360.001409346,360.04256927,5,7.371252986017693e-07,2.559750419196956e-09,1356621.461638706,4722.080718601067,7.371202627217311e-07,,,1.0,True,20.039177249601174,79.96,610741197.0,488438163.0,122303034.0,1.2506124444486313,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_014.txt,26,493935539.0,360.017631823,0.010377108806401405,360.007955939,360.034382712,5,7.288677560453896e-07,9.551563077794644e-10,1371990.9979633205,1796.359560437779,7.28875740652061e-07,,,1.0,True,7.006098149210437,92.99,531148268.0,493935538.0,37212730.0,1.0753393288137523,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_015.txt,29,494394942.0,360.027524861,0.004569401369448462,360.001991596,360.039772604,5,7.281668176856064e-07,4.357052565119618e-09,1373311.6858831658,8250.634268445972,7.282184631674489e-07,,,1.0,True,21.07949550770841,78.92,626446757.0,494394941.0,132051816.0,1.267097830194019,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_007.txt,24,499309524.0,360.029023334,0.016445433601785395,360.014024658,360.046819901,5,7.21031572073518e-07,1.222408671798e-08,1386901.8205738675,23784.972368816434,7.210537873377316e-07,,,1.0,True,13.503304427366055,86.5,577268072.0,499309523.0,77958549.0,1.1561135294009806,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_016.txt,29,502181123.0,360.026974542,0.018486159854383503,360.008945047,360.049426244,5,7.169513683332936e-07,1.7163258528889903e-09,1394794.7436444864,3344.430389730966,7.169265391562717e-07,,,1.0,True,37.53864667885935,62.46,803986938.0,502181122.0,301805816.0,1.6009899671218624,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_009.txt,24,505794793.0,360.022581863,0.008010002989787938,360.005123151,360.027984536,5,7.117758228444237e-07,4.200583835058412e-09,1404936.7341584666,8324.446580451451,7.117957457165836e-07,,,1.0,True,0.8290548936714569,99.17,510023164.0,505794792.0,4228372.0,1.0083598567381058,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_008.txt,24,506337520.0,360.016642658,0.006572927705449979,360.002137254,360.027057502,5,7.110123090996693e-07,3.594793576344137e-09,1406445.4119876856,7086.654023487425,7.11021064877831e-07,,,1.0,True,27.111760066677245,72.89,694676563.0,506337520.0,188339043.0,1.371963434588059,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_003.txt,16,510521519.0,360.041568011,0.0031488244578007536,360.031461116,360.043691864,5,7.052468475163335e-07,2.0070827229848343e-09,1417943.240046656,4027.635065738158,7.052426873528126e-07,,,1.0,True,16.3592381397148,83.64,610374066.0,510521519.0,99852547.0,1.1955893009085872,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_005.txt,21,510748521.0,360.038331563,0.0071678031642424455,360.004099574,360.050535497,5,7.049323715613853e-07,5.1528567917428306e-09,1418575.795838481,10318.515162564632,7.049229058129764e-07,,,1.0,True,7.467392614933924,92.53,551953350.0,510748520.0,41204830.0,1.0807001210271645,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_021.txt,31,512311885.0,360.026792334,0.02195072325601991,360.004473057,360.050718899,5,7.02720349292697e-07,7.358183617450511e-09,1423041.1870191626,15006.647744981772,7.02749248797927e-07,,,1.0,True,21.72192491054554,78.28,654476855.0,512311884.0,142164971.0,1.2774969221678254,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_017.txt,29,515841090.0,360.038834409,0.012659921399977394,360.026075915,360.050102166,5,6.979618725410184e-07,4.577804213429595e-09,1432743.0184106957,9355.710934471179,6.979646278449822e-07,,,1.0,True,0.13007242748525302,99.87,516513089.0,515841089.0,672000.0,1.001302418362032,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_002.txt,14,519362422.0,360.045387898,0.008311709124616038,360.024503236,360.050994069,5,6.932047602704686e-07,1.1839936260071401e-08,1442575.2062202063,24926.34130537087,6.932449723865466e-07,,,1.0,True,22.857480099465974,77.14,673250526.0,519362421.0,153888105.0,1.2963019632874053,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_006.txt,21,519721212.0,360.018939458,0.01316480155617678,360.005472887,360.044374593,5,6.926895892927302e-07,2.302596850992939e-08,1443648.0863254326,49089.51348995371,6.927155004364147e-07,,,1.0,True,13.88210328152002,86.12,603402533.0,519721212.0,83681321.0,1.1611988194149785,0.0,100.0
results-without-vgs,2_triangulation_subdivide_2,case_025.txt,33,554049420.0,360.0186122905,0.01574532764282449,360.001698344,360.040783752,4,6.497759690355799e-07,6.296497052759593e-10,1538991.9967310387,1492.8968853137778,6.4979512529857e-07,,,1.0,True,20.904182689384086,79.1,700478784.5,554049419.0,146429365.5,1.264289356969971,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_001.txt,12,54721224.0,28.152620883,0.14723919580020078,27.900200641,28.25193236,5,5.144735227962006e-07,2.6907145900136175e-09,1943734.625185234,10130.065420462155,5.144735227962006e-07,282624.0,23552.0,0.0,False,33.455472807512635,66.54,82232492.0,54721223.0,27511269.0,1.5027531822525237,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_006.txt,29,593584394.0,360.016278418,0.01753680511378409,360.004450005,360.046883804,5,6.065123713781464e-07,1.6142996064132529e-09,1648770.985046442,4380.521871014772,6.065123713781464e-07,,,1.0,True,0.17014794140437717,99.83,594596086.0,593584393.0,1011693.0,1.0017043793804734,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_004.txt,26,648705506.0,360.024515727,0.024727552995607707,360.004334669,360.045692278,5,5.549806479105173e-07,6.419888901209144e-09,1801864.6303523644,21007.464637503464,5.549891474591554e-07,,,1.0,True,13.631384454751483,86.37,750998898.0,648705506.0,102293392.0,1.1578279837959196,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_005.txt,29,650027812.0,360.035925424,0.009374049845925037,360.020389871,360.049771225,5,5.538746172679147e-07,1.3280407710144014e-09,1805462.7686906438,4336.021346605864,5.538777245795754e-07,,,1.0,True,13.735588492738653,86.26,753529527.0,650027812.0,103501715.0,1.159226594753764,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_003.txt,22,659763878.0,360.006334038,0.004635479368779897,360.00320745,360.019782694,5,5.456593579044047e-07,2.5020763099105417e-09,1832645.1943213854,8429.515483303085,5.456593579044047e-07,,,1.0,True,0.1696426709747484,99.83,660885020.0,659763877.0,1121143.0,1.0016993094637099,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_002.txt,19,659933008.0,360.018287293,0.0173774359920239,360.003162294,360.044335923,5,5.45519866424078e-07,1.885393230270115e-09,1833113.8085860594,6350.302037221392,5.455376271965472e-07,,,1.0,True,15.359098396496051,84.64,779685701.0,659933007.0,119752694.0,1.1814618949647415,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_010.txt,32,660124852.0,360.020622008,0.007915562852374727,360.000988494,360.050357514,5,5.454276663318229e-07,5.190046039215583e-09,1833423.6815035855,17558.735439613945,5.453826210560544e-07,,,1.0,True,6.88848165572944,93.11,709065778.0,660124852.0,48940926.0,1.073980982999976,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_008.txt,33,693090668.0,360.038970489,0.009785397216007356,360.006063799,360.045570649,5,5.194213115548686e-07,7.69385775761355e-09,1925219.4273787818,28804.835191081616,5.19468789744259e-07,,,1.0,True,13.698465320895627,86.3,803103526.0,693090668.0,110012858.0,1.1587279458219455,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_025.txt,46,694837519.0,360.025327216,0.0197536924157728,360.009607687,360.044872936,4,5.181470510096169e-07,2.85057262121218e-09,1929968.6004891344,10597.275660613288,5.181431879702512e-07,,,1.0,True,13.152135920577877,86.845,800063037.0,694837518.0,105225519.0,1.1514388015082577,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_007.txt,33,695855114.0,360.018564569,0.01304064566695415,360.009768774,360.049248495,5,5.173757544145892e-07,7.332190198402253e-09,1932831.1995050875,27132.50897730624,5.173757544145892e-07,,,1.0,True,13.682202889316839,86.32,806154856.0,695855113.0,110299743.0,1.158509639347868,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_012.txt,36,702958692.0,360.018161853,0.023687058385183715,360.002185151,360.039293261,5,5.12177027410595e-07,5.647340221428228e-09,1952449.9274316998,21369.081207618514,5.121469667423929e-07,,,1.0,True,0.16575149164753644,99.83,704125790.0,702958691.0,1167099.0,1.0016602668335173,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_019.txt,39,703421141.0,360.020037195,0.005509635154809552,360.003587709,360.027506795,5,5.118235517959788e-07,4.176596807275998e-09,1953798.3285275162,16031.677882816317,5.118129328373427e-07,,,1.0,True,0.0040422228637149275,100.0,703449586.0,703421151.0,28435.0,1.0000404238626597,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_021.txt,43,710180069.0,360.040003371,0.005057909173804739,360.008608619,360.043414884,5,5.069336817828944e-07,1.346810337280399e-08,1972644.6198701633,51486.173569519204,5.069700194177092e-07,,,1.0,True,0.1719298761553815,99.83,711404082.0,710180069.0,1224013.0,1.0017222598407651,0.0,100.0
results-without-vgs,3_triangulation_subdivide_3,case_020.txt,39,715296376.0,360.034446459,0.01063218420606903,360.018799238,360.046271736,5,5.03336033491941e-07,5.379951125282543e-09,1986744.3088912314,21083.491608254008,5.033360415892838e-07,,,1.0,True,0.02217525820200783,99.98,715455029.0,715296375.0,158654.0,1.0002218017671347,0.0,100.0
